rank,platform,account,views,likes,comments,shares,engagement_rate,description,hashtags,duration_secs,url,viral_score
134,TikTok,thepodcompany,529,28,0,1,5.48,You need to push yourself💪 #icebath #coldplunge #coldexposure #icebathchallange #wimhof #wimhofmethod #motivation #motivational ,#icebath #coldplunge #coldexposure #icebathchallange #wimhof #wimhofmethod #motivation #motivational,10,https://www.tiktok.com/@thepodcompany/video/7307824095125671198,1.17
135,TikTok,ice.bath.recovery.tijuan,526,6,0,0,1.14,"Mom’s Glow Up ❤️‍🩹

GRACIAS POR TODO 🥶🫰🏻",,35,https://www.tiktok.com/@ice.bath.recovery.tijuan/video/7638726544357166354,0.66
136,TikTok,subceromx,521,20,0,1,4.03,Así de fácil es la instalacion #frioooooooo🥶🥶🥶🥶🥶 #icebath #coldplung ,#frioooooooo🥶🥶🥶🥶🥶 #icebath #coldplung,32,https://www.tiktok.com/@subceromx/video/7558211263818501397,0.16
137,TikTok,thepodcompany,514,56,0,0,10.89,#icebath #coldplunge #coldexposure #icebathchallange #wimhof #wimhofmethod #fyp #gym #winterarc ,#icebath #coldplunge #coldexposure #icebathchallange #wimhof #wimhofmethod #fyp #gym #winterarc,0,https://www.tiktok.com/@thepodcompany/video/7305641500501757214,1.14
138,Instagram,mateussiq_,484,44,2,0,9.5,"Testando algo novo… 

No começo dá aquele choque, mas depois você sai com uma sensação absurda de leveza e foco.

Percebi alguns benefícios bem rápidos:
Menos dor muscular, corpo mais “leve” depois do",#banhodegelo #rotina #disciplina #foco #evolução,43,https://www.instagram.com/p/DW-DDn7jfLx/,1.0
139,TikTok,piolet91,475,21,0,0,4.42,"Tiene que ser Piolet.

#IceBath #BañoDeHielo #Crioterapia #Bienestar #Recuperación #RespiraYSiente ",#icebath #bañodehielo #crioterapia #bienestar #recuperación #respiraysiente,39,https://www.tiktok.com/@piolet91/video/7482795643761708294,0.06
140,TikTok,subceromx,472,3,0,1,0.85,"EL DOBLE DE POTENCIA. ENFRÍA MÁS RÁPIDO, RINDE MEJOR 
Pensada para quienes no quieren esperar el frío… lo exigen.
Disponible muy pronto en Sub Cero.",,0,https://www.tiktok.com/@subceromx/video/7517005029111336210,0.14
141,TikTok,subceromx,465,6,2,1,1.94,Empieza tu reto ❄️🧊#frio #coldplunge #icebath #subcero ,#frio #coldplunge #icebath #subcero,12,https://www.tiktok.com/@subceromx/video/7418792313792646406,0.14
142,Instagram,morozkoforge,458,43,2,0,9.83,"How much is stress helping you?

This clip with @seagertp and @metabolic_mike corrects misconceptions about stress and how it impacts longevity. Drawing on insights from @kellymariemcgonigal and Hans ",,68,https://www.instagram.com/p/DYs0J4oBXK_/,0.04
143,TikTok,thepodcompany,441,39,0,1,9.07,Are you motivated? #icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc #cold ,#icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc #cold,13,https://www.tiktok.com/@thepodcompany/video/7310882206187015470,0.97
144,TikTok,subceromx,435,4,1,0,1.15,"Vamos todo pregunta por informacion 😁❄️

#frio #coldplunge #icebath #subcero #monterrey ",#frio #coldplunge #icebath #subcero #monterrey,15,https://www.tiktok.com/@subceromx/video/7416836707343027461,0.13
145,TikTok,thepodcompany,435,18,0,1,4.37,You need to go through hell. #icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc ,#icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc,15,https://www.tiktok.com/@thepodcompany/video/7311937268296568107,0.96
146,TikTok,thepodcompany,425,24,0,2,6.12,You must suffer to grow💯 #icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc #davidgoggins ,#icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc #davidgoggins,9,https://www.tiktok.com/@thepodcompany/video/7311229735277841710,0.94
147,TikTok,thepodcompany,419,22,0,2,5.73,Keep going. #icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc ,#icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc,14,https://www.tiktok.com/@thepodcompany/video/7313507454317284638,0.93
148,TikTok,ice.bath.recovery.tijuan,417,5,0,0,1.2,"DÍA 19 DE 21 – “El día que sufrí… pero regresé”

Cosas que solo me pasan a mí … pero por ser lunes se perdona 🤡

Lo grabé doble así que espero doble like 🤣😂",,129,https://www.tiktok.com/@ice.bath.recovery.tijuan/video/7628396314522307848,0.53
149,Instagram,icebarrel,415,-1,5,0,0.96,"Austin WTM was epic! 

Athletes showed up, pushed limits, and proved what resilience really looks like. Proud to be an official partner of @WorldToughestMile.

Recovery is where the real work continue",,24,https://www.instagram.com/p/DYNns7gEyw1/,0.65
150,TikTok,icebarrel,407,7,0,0,1.72,,,18,https://www.tiktok.com/@icebarrel/video/7517470111599578382,0.02
151,TikTok,thepodcompany,400,24,0,3,6.75,2024 is your year. #icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc #davidgoggins ,#icebath #coldexposure #wimhof #motivation #motivational #gym #winterarc #davidgoggins,18,https://www.tiktok.com/@thepodcompany/video/7312712599018147102,0.88
152,TikTok,polarrecovery,385,48,2,0,12.99,"guilt, guilt, and more guilt but it’s ok 👌 eat it to beat it #recovery #wieiad #wieiadedrecovery #wieiadrealistic #anarecovery #fyp #foodie #foodisfuel ",#recovery #wieiad #wieiadedrecovery #wieiadrealistic #anarecovery #fyp #foodie #foodisfuel,0,https://www.tiktok.com/@polarrecovery/video/7176826741581827370,0.52
153,TikTok,piolet91,385,8,0,0,2.08,"Un día de conexión y comunidad en San Pedro Garza García: empezamos con yoga 🧘‍♀️, cuidamos la piel ✨ y cerramos con un cold plunge ❄️ para recargar energía.
#ColdPlunge #SanPedroGarzaGarcía #YogaEnCo",#coldplunge #sanpedrogarzagarcía #yogaencomunidad #facecare #bañodehielo #wellnessméxico #selfcare #crioterapia #sanpedronl,59,https://www.tiktok.com/@piolet91/video/7488877288734395653,0.05
154,Instagram,piolet91,383,-1,5,0,1.04,"Así se bajan las revoluciones.
Buena temperatura, buena compañía y tiempo para recuperarte. ❄️

#PIOLET #RecoveryCulture #ColdExposure",#PIOLET #RecoveryCulture #ColdExposure,21,https://www.instagram.com/p/DY0PRjtm-hP/,0.23
155,TikTok,subceromx,380,2,2,0,1.05,"Pide la tuya el mejor precio de mexico ❄️🧊
.
.
.
#frio #coldplunge #icebath #subcero #monterrey ",#frio #coldplunge #icebath #subcero #monterrey,11,https://www.tiktok.com/@subceromx/video/7416836190835363077,0.11
156,Instagram,coldplungebiz,378,5,0,0,1.32,"You ready for winter? 🥶 

#coldplunge #icebath #polarplunge #wimhof #biohacking #longevity",#coldplunge #icebath #polarplunge #wimhof #biohacking #longevity,7,https://www.instagram.com/p/DBy54hJJ9fE/,1.0
157,TikTok,thepodcompany,376,37,0,2,10.37,You can do it. #icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #davidgoggins ,#icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #davidgoggins,13,https://www.tiktok.com/@thepodcompany/video/7308593210765430047,0.83
158,TikTok,piolet91,376,15,0,1,4.26,"📢📢 Puppy Yoga is here!! 🐾
El sábado 29 de marzo estaremos dando una clase de Yoga por el maestro Roberto Lopez, seguida por una meditación 🧘🏽‍♀️. Todo esto en compañía de cachorritos 🐶, porque no hay ",#wellnessparty #monterrey #yoga #icebath #bañodehielo #crioterapia #bienestar #recuperación,0,https://www.tiktok.com/@piolet91/video/7480227585276775686,0.05
159,TikTok,thepodcompany,369,15,0,1,4.34,How do you push yourself? #icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #davidgoggins #coldplunge ,#icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #davidgoggins #coldplunge,8,https://www.tiktok.com/@thepodcompany/video/7309709299792497950,0.82
160,TikTok,thepodcompany,367,9,0,1,2.72,Have you tried it? #icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #fypシ ,#icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #fypシ,12,https://www.tiktok.com/@thepodcompany/video/7309331001493163295,0.81
161,TikTok,thepodcompany,366,4,0,1,1.37,Which one do you need the most? #icebath #coldexposure #wimhof #motivation #motivational #wimhofmethod #gym #selfhelp ,#icebath #coldexposure #wimhof #motivation #motivational #wimhofmethod #gym #selfhelp,16,https://www.tiktok.com/@thepodcompany/video/7310102437497425182,0.81
162,Instagram,mentefria.therapy,363,-1,0,0,-0.28,Embace the power of a cold mind.,,13,https://www.instagram.com/p/DZF7OVmJ02_/,0.23
163,TikTok,polarrecovery,357,33,0,0,9.24,sushi is definitely one of the foods i avoided duribg my ed so im proud of myself!! #recovery #edrecocery #wieiad #wieiadrealistic #wieiadedrecovery #foodisfuel #foodie #fyp ,#recovery #edrecocery #wieiad #wieiadrealistic #wieiadedrecovery #foodisfuel #foodie #fyp,0,https://www.tiktok.com/@polarrecovery/video/7176055107539291434,0.48
164,Instagram,mentefria.therapy,353,-1,1,0,0.0,Mind Over Body.,,13,https://www.instagram.com/p/DZIOUUiOcS3/,0.23
165,Instagram,mentefria.therapy,349,-1,2,0,0.29,"Mientras tanto, alguien acaba de comprar 10 bolsas de hielo para una sesión de 3 minutos.",,3,https://www.instagram.com/p/DZrKQQ1OCKA/,0.22
166,Instagram,mentefria.therapy,335,-1,0,0,-0.3,"El tiempo es lo más valioso que tenemos. No se recupera, no se compra y no vuelve. Por eso creamos una experiencia que te ayuda a resetear cuerpo y mente en cuestión de minutos, para que puedas volver",,28,https://www.instagram.com/p/DZiYwmbK5XT/,0.22
167,TikTok,thepodcompany,325,23,0,1,7.38,You need to push yourself.. #icebath #coldexposure #wimhof #motivation #motivational #gym #davidgoggins #fypシ ,#icebath #coldexposure #wimhof #motivation #motivational #gym #davidgoggins #fypシ,10,https://www.tiktok.com/@thepodcompany/video/7310494109255535918,0.72
168,TikTok,thepodcompany,316,19,0,4,7.28,You are 100 little changes away from being who you wanna be. #icebath #icebathchallange #coldexposure #wimhof #motivation #motivational #fypシ  #CapCut ,#icebath #icebathchallange #coldexposure #wimhof #motivation #motivational #fypシ #capcut,12,https://www.tiktok.com/@thepodcompany/video/7308255639002778911,0.7
169,Instagram,icebarrel,307,18,0,0,5.86,The first 30 seconds are the hardest. The afterglow makes them worth it.,,11,https://www.instagram.com/p/DZp42u7ikXq/,0.48
170,TikTok,subceromx,293,8,0,0,2.73,"2026 no empieza con promesas.
Empieza con hábitos que sí se sostienen.
En SubCero diseñamos ice baths automáticos para mejorar tu recuperación, tu rendimiento y tu bienestar, sin necesidad de hielo y ",,22,https://www.tiktok.com/@subceromx/video/7593200740001238293,0.09
171,Instagram,reliant.fitness,275,1318,30,0,490.18,"Big thank you to @thecoldplungestore for keeping me up and running 🥶

Enjoy the cold with Embrace Limitless plunge and chiller combo! Perfect for any home/residential space 🏡🫵🏻

Enter code RELIANTFITN",,44,https://www.instagram.com/p/DKGEvdcyViV/,0.0
172,TikTok,piolet91,273,21,1,6,10.26,"Zona de recuperacion UNWIND de PIOLET en el maraton de Aguascalientes 2025. Lleva PIOLET a tu proximo evento masivo (carreras, festivales, etc)",,60,https://www.tiktok.com/@piolet91/video/7571171589786504504,0.03
173,Instagram,hugues.mucunguzi,269,7,0,0,2.6,"L’énergie par le coldplunge | @thecoldpod 

#coldplunge
#coldpod 
#wimhof",#coldplunge #coldpod #wimhof,71,https://www.instagram.com/p/DXBfYMexzeE/,1.0
174,Instagram,thecoldpod,262,10,0,0,3.82,"Unzip. Step in. Breathe. Reset. ❄️⁠
⁠
A few minutes in the cold can be the perfect opportunity to slow down, focus on your breathing and take a moment for yourself.⁠
⁠
Simple routine. Real benefits.",,20,https://www.instagram.com/p/DZhAEUMlbsJ/,1.87
175,TikTok,icebarrel,258,4,0,0,1.55,How many ice blocks can we fit?,,75,https://www.tiktok.com/@icebarrel/video/7637660801892879630,0.01
176,TikTok,icebarrel,255,2,0,0,0.78,"Listen to your body and find what works best for you. 🙌🧊
Ice baths are both a mental and physical experience and for some, challenging to get into at first. Prepare yourself by setting some goals for ",,6,https://www.tiktok.com/@icebarrel/video/7608337801121205518,0.01
177,TikTok,ice.bath.recovery.tijuan,216,2,0,0,0.93,"Día 20 DE 21 en el hielo

“Cómo nació Ice Bath (y el caos del 2024)",,134,https://www.tiktok.com/@ice.bath.recovery.tijuan/video/7628880242186226951,0.27
178,TikTok,icebarrel,209,2,0,0,0.96,"Built for real humans, built for the cold. 🧊
There’s just something about stepping in, taking that first breath, and proving to yourself you can do hard things. Again and again.
Hot days, cold water, ",,30,https://www.tiktok.com/@icebarrel/video/7630970687053696269,0.01
179,TikTok,piolet91,171,9,0,1,5.85,"Estuvimos en el Maratón de Aguascalientes… y sí, corrimos con todo el flow PIOLET 🧊🔥

#MaratónDeAguascalientes #RunWithPIOLET #SomosMovimiento #RecoveryTime #AtletasPIOLET ",#maratóndeaguascalientes #runwithpiolet #somosmovimiento #recoverytime #atletaspiolet,41,https://www.tiktok.com/@piolet91/video/7569311446165687572,0.02
180,TikTok,icebarrel,164,0,0,0,0.0,"🥶 your body knows what it needs — see your cold plunge number below...
246 - you need a quick reset dip ❄️
13 - you and your workout buddy should plunge together 🧊
58 - it’s time to commit to a cold r",,16,https://www.tiktok.com/@icebarrel/video/7628367697532751118,0.01
181,Instagram,thecoldpod,162,11,1,0,7.41,"Showing up every day this February ❄️⁠
Well done @big_shot14 for committing to a daily dip and inspiring others to take that first step into the cold.⁠
⁠
📷 @big_shot14",,60,https://www.instagram.com/p/DVJz6pGlDaV/,1.16
182,TikTok,ice.bath.recovery.tijuan,159,3,0,0,1.89,"🌷❄️ Feliz Día de las Madres ❄️🌷

Hoy queremos celebrar a todas las mamás que han sido parte de nuestra comunidad en Ice Bath Recovery Tijuana.

A esas mujeres increíbles que, además de cuidar de todos",#felizdíadelasmadres #icebathrecoverytijuana #mamásfuertes,22,https://www.tiktok.com/@ice.bath.recovery.tijuan/video/7638394303139613960,0.2
183,Instagram,thecoldpod,132,3,0,0,2.27,"Whether you've been training, gardening, running or simply enjoying the sunshine, cold water immersion can be a great way to support recovery.⁠
⁠
A few minutes in the cold can help soothe tired muscle",#coldplunge #icebath #heatwave #summerfitness #recoverymode,19,https://www.instagram.com/p/DZO_E5wlI1t/,0.94
184,Instagram,piolet91,130,13,0,0,10.0,"❄️ Cuando cada grado cuenta, todo cambia. 🧊
Pool + Chiller Polar Pro.
Redefiniendo la experiencia de las inmersiones en frío.
#PIOLET  #ColdImmersion #Wellness #RecoveryPro",#PIOLET #ColdImmersion #Wellness #RecoveryPro,17,https://www.instagram.com/p/DZYZHD_DbuN/,0.08
185,Instagram,icebarrel,124,9,3,0,9.68,"Reset the body. Sharpen the mind. Do it all again. @everydayheroes.fitness

Shop now — link in bio. 🧊",,9,https://www.instagram.com/p/DYxZFBcD_NJ/,0.19
186,TikTok,piolet91,122,1,0,0,0.82,"Women's Day Wellness Party

con MdeMafer y Casa Copal

Un día de bienestar, conexión y energía renovada en Casa Copal, Guadalajara.

🗓 Fecha: Domingo 9 de marzo
📍 Lugar: Casa Copal, Guadalajara
⏰ Hora",#wellnessparty #guadalajara #icebath #díadelamujer #casacopal #pilatesreformer #bañodehielo #crioterapia #piolet,21,https://www.tiktok.com/@piolet91/video/7477644214248017207,0.01
187,Instagram,thecoldpod,120,9,0,0,7.5,"Fill. Ice. Dip. ❄️⁠
⁠
A simple setup that makes showing up easier, day after day. 💙⁠
⁠
#thecoldpod #coldpod #coldpodding #coldwatertherapy #coldwaterimmersion #coldplunge #stressrelief #naturetherapy ",#thecoldpod #coldpod #coldpodding #coldwatertherapy #coldwaterimmersion #coldplunge #stressrelief #naturetherapy #thebesticebath #recovery #wellness #health #mindandbody #lifehacks #energyboost #mentalhealth #therapy #fitness #moodbooster #routine #motivational #gym #gymlife,15,https://www.instagram.com/p/DWW-iTNjMRJ/,0.86
188,TikTok,ice.bath.recovery.tijuan,114,5,0,0,4.39,"¿Listo para llevar tu mente y cuerpo al siguiente nivel?

🔥 ICE BOOTCAMP JULIO 2026 🔥

Todos los MARTES y VIERNES de JULIO

🕖 7:00 PM

Aprende a dominar el frío de forma segura y guiada.

¿Qué incluye",,81,https://www.tiktok.com/@ice.bath.recovery.tijuan/video/7651719418178800904,0.14
189,Instagram,thecoldpod,112,8,4,0,10.71,"Well done to @doctorlaurawilliams for showing up 💙⁠
⁠
Getting everything ready for a fresh start ❄️⁠
⁠
Cleaned up, set up and ready to go.⁠
⁠
📷 @doctorlaurawilliams",,75,https://www.instagram.com/p/DXpUie6kvcq/,0.8
190,TikTok,piolet91,106,3,0,0,2.83,"✨ WOMEN’S DAY WELLNESS PARTY & ICE BATH ✨
📍Guadalajara

Vive una mañana de bienestar, conexión y energía con MdeMafer en Casa Copal. 🌿❄️

💫 Pilates Reformer
💫 Women’s Circle
💫 Brunch saludable
💫 Breat",#wellnessparty #guadalajara #icebath #díadelamujer #casacopal #pilatesreformer #respiraysiente,61,https://www.tiktok.com/@piolet91/video/7476602973263678726,0.01
191,Instagram,mentefria.therapy,100,13,0,0,13.0,Wellness para los que valoran su tiempo.,,13,https://www.instagram.com/p/DZtVoCntu8h/,0.06
192,TikTok,thepodcompany,54,0,0,1,1.85,The choice is yours. #icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #davidgoggins ,#icebath #coldexposure #wimhof #motivation #motivational #gym #selfhelp #davidgoggins,9,https://www.tiktok.com/@thepodcompany/video/7308985757132131615,0.12
193,Instagram,thecoldpod,51,7,0,0,13.73,"From heatwave to rain showers in just a few days...☔❄️⁠
⁠
The weather may have changed, but the cold water routine stays the same.⁠
⁠
Thanks to @happycalli for sharing their Cold Pod moment with us.⁠
",,24,https://www.instagram.com/p/DZKWrv9k64b/,0.36
194,Instagram,thecoldplungestore,43,2,0,0,4.65,"Small habit, big impact! 

#icebath #coldtherapy #coldplunge #coldplungetherapy #coldwater",#icebath #coldtherapy #coldplunge #coldplungetherapy #coldwater,26,https://www.instagram.com/p/DKhfrjNu09C/,0.13
